,auroc_mean,eer_mean,accuracy_at_eer_mean,sensitivity_at_eer_mean,specificity_at_eer_mean,accuracy_at_sensitivity90_mean,sensitivity_at_sensitivity90_mean,specificity_at_sensitivity90_mean,auroc_std,eer_std,accuracy_at_eer_std,sensitivity_at_eer_std,specificity_at_eer_std,accuracy_at_sensitivity90_std,sensitivity_at_sensitivity90_std,specificity_at_sensitivity90_std,Method,Dataset
b_g_m_PatRisk_RandomForest,0.6742119789123535,0.3687133252620697,0.6413626551628113,0.6179254055023193,0.6446479439735413,0.5895026922225952,0.6728904485702515,0.5748995900154114,0.020608590876008498,0.021089442121536912,0.02558456216407651,0.021558476762555897,0.028062191540726318,0.04169266505059909,0.056822148918329575,0.05548670637439303,RandomForest,b_g_m_PatRisk_RandomForest
b_g_m_PatRisk_SVM,0.7692530155181885,0.3004997134208679,0.6947423696517945,0.705955708026886,0.6930448651313782,0.3999876379966736,0.8987412452697754,0.3223887324333191,0.04952391870883361,0.061047846366804825,0.06069097470660029,0.06165673750613348,0.060618523547729466,0.16626002101215628,0.007891893299597382,0.18421428981810467,SVM,b_g_m_PatRisk_SVM
b_g_m_PatRisk_NN,0.7666239619255066,0.31218085885047914,0.6865483522415161,0.6892890334129333,0.6863492488861084,0.4030810534954071,0.8997668981552124,0.326005095243454,0.0526112121281572,0.06600001995369607,0.06367585866184314,0.06992114525029967,0.06269921068742701,0.12476803815164682,0.018579712645547974,0.13588095854553806,NN,b_g_m_PatRisk_NN
b_g_m_PatRisk_LogisticRegression,0.773794662952423,0.30936582684516906,0.691675066947937,0.6892890334129333,0.6919793128967285,0.4326166033744812,0.8920745849609375,0.3603800803422928,0.053007057626494394,0.06342400875986808,0.058805395058667796,0.06992114525029967,0.057188902756519625,0.1441082811110229,0.014942434742705188,0.1615753427260469,LogisticRegression,b_g_m_PatRisk_LogisticRegression
b_g_m_PatRisk_LinearRegression,0.7845049500465393,0.298184210062027,0.6987008452415466,0.705955708026886,0.6976758718490601,0.47566351294517517,0.8920745849609375,0.41164002418518064,0.04719960548250872,0.059373750477289856,0.05800829997548259,0.06165673750613348,0.057757146946746135,0.14480396325850176,0.014942434742705188,0.15843362610763365,LinearRegression,b_g_m_PatRisk_LinearRegression
b_g_m_MenoStatus_RandomForest,0.6487796425819397,0.3734339654445648,0.6360418677330018,0.6144405722618103,0.63869149684906,0.5543836712837219,0.6837645649909974,0.5308672308921814,0.0688298793802203,0.06487329716914268,0.04755715569342561,0.09382245121411917,0.04475661738077129,0.02667783955813493,0.13804174290274526,0.03730353775783653,RandomForest,b_g_m_MenoStatus_RandomForest
b_g_m_MenoStatus_SVM,0.691517448425293,0.3712459444999695,0.6276585519313812,0.6304545640945435,0.6270535528659821,0.338088795542717,0.9064335584640503,0.24742133915424347,0.09224737041875658,0.0877744041552772,0.08939357173129019,0.0862391514500062,0.09024255615258735,0.13321804212778715,0.009035887764493166,0.15483309202474516,SVM,b_g_m_MenoStatus_SVM
b_g_m_MenoStatus_NN,0.6999195694923401,0.36151762008666993,0.6374480724334717,0.639965045452118,0.6369997143745423,0.34734760224819183,0.9064335584640503,0.26206519454717636,0.09394209025624706,0.07082409400262062,0.07349976741832744,0.06745112513583817,0.0744915840522339,0.12225019253387204,0.009035887764493166,0.12875841717363698,NN,b_g_m_MenoStatus_NN
b_g_m_MenoStatus_LogisticRegression,0.6882238745689392,0.37224944233894347,0.6247931241989135,0.6316317081451416,0.6238694071769715,0.306029686331749,0.8964335680007934,0.21419308930635453,0.09110595555214604,0.07012791151477579,0.07146198415033461,0.0688731847739269,0.07168341832154641,0.11421829828297311,0.024704615523435045,0.11686310190004476,LogisticRegression,b_g_m_MenoStatus_LogisticRegression
b_g_m_MenoStatus_LinearRegression,0.6661022186279297,0.4044723927974701,0.59791179895401,0.5925408005714417,0.5985144138336181,0.29630193710327146,0.9064335584640503,0.20087944716215134,0.0652587326453786,0.05970210214565681,0.059849393257908126,0.060059743679685196,0.0598801364877484,0.061331404099753004,0.009035887764493166,0.051362319117651135,LinearRegression,b_g_m_MenoStatus_LinearRegression
b_g_m_FamRisk_RandomForest,0.6637849450111389,0.3735430359840393,0.6246986269950867,0.6286829948425293,0.624230933189392,0.5457950711250306,0.6818648099899292,0.5224672257900238,0.05800877903753354,0.047384303259180055,0.04943235397436473,0.04475461335157275,0.05011602033831013,0.03438663345340346,0.0845027519487202,0.0397506978218692,RandomForest,b_g_m_FamRisk_RandomForest
b_g_m_FamRisk_SVM,0.700052809715271,0.33475813269615173,0.6663685202598572,0.6637878775596618,0.6666958570480347,0.2858125060796738,0.9064335584640503,0.1916777551174164,0.11094116909206869,0.09431706809630909,0.09535273395358494,0.09319154722552449,0.09589669312102046,0.1499755181655156,0.009035887764493166,0.16199719634431303,SVM,b_g_m_FamRisk_SVM
b_g_m_FamRisk_NN,0.7426129460334778,0.32239716649055483,0.6765816330909729,0.6791724920272827,0.6760331749916076,0.3912688732147217,0.8920745849609375,0.31438476741313937,0.0685112832813255,0.06851057337813725,0.06928061432332729,0.06776269786619997,0.0695601774439377,0.09610684474060849,0.014942434742705188,0.09914402734419733,NN,b_g_m_FamRisk_NN
b_g_m_FamRisk_LogisticRegression,0.7318932056427002,0.32510505318641664,0.6766168236732483,0.6725058197975159,0.6772840738296508,0.3631535232067108,0.8920745849609375,0.2803315192461014,0.060715106689730576,0.0689189354363301,0.06810527790303926,0.07025884648182457,0.06775259566562317,0.09839581503668791,0.014942434742705188,0.10653544651607626,LogisticRegression,b_g_m_FamRisk_LogisticRegression
b_g_m_FamRisk_LinearRegression,0.7442969560623169,0.3270008862018585,0.6733643651008606,0.6725058197975159,0.6734924077987671,0.41157647371292116,0.8987412452697754,0.3348852187395096,0.07611076361066844,0.07290378755794591,0.07473062174100466,0.07025884648182457,0.07567499097739265,0.10342177974484285,0.007891893299597382,0.11714647533327026,LinearRegression,b_g_m_FamRisk_LinearRegression
b_g_m_Contrac_RandomForest,0.6436231970787049,0.38314945101737974,0.6223743557929993,0.610466194152832,0.6232349038124084,0.5396308481693268,0.6781235337257385,0.515500545501709,0.06899557143768374,0.05446966094004619,0.051389452369064115,0.06731571280290581,0.052464856384986255,0.06199958962208327,0.12322626502622448,0.08120785074263986,RandomForest,b_g_m_Contrac_RandomForest
b_g_m_Contrac_SVM,0.6943684458732605,0.3665101110935211,0.6346834897994995,0.6314802050590516,0.6354995727539062,0.3378158360719681,0.9131002306938172,0.24520079791545868,0.07422024838282036,0.05958840480338875,0.05827622997000077,0.06340309460586162,0.05858112622752413,0.1203342192866873,0.013177411474779861,0.13941353663804715,SVM,b_g_m_Contrac_SVM
b_g_m_Contrac_NN,0.7005667448043823,0.35516836047172545,0.6423959970474243,0.6478787899017334,0.6417844951152801,0.34791629314422606,0.9064335584640503,0.26157882511615754,0.11219075679146616,0.09852066038045272,0.10415718124625323,0.0925389165198728,0.10604824267294033,0.12173820420311138,0.009035887764493166,0.12936580799481312,NN,b_g_m_Contrac_NN
b_g_m_Contrac_LogisticRegression,0.704922366142273,0.36130491495132444,0.6384493350982666,0.6387878894805908,0.6386022865772247,0.3495147615671158,0.9064335584640503,0.26362499594688416,0.10701194755653357,0.08496830464005206,0.0878773031330532,0.08138832285054787,0.08903393728513981,0.12208055848086968,0.009035887764493166,0.13287333945728153,LogisticRegression,b_g_m_Contrac_LogisticRegression
b_g_m_Contrac_LinearRegression,0.6773242592811585,0.3960853934288025,0.6075485587120056,0.5993240118026734,0.6085052013397216,0.24919993579387664,0.8964335680007934,0.14958478659391403,0.05949404541787494,0.0426751303569829,0.04375900534640254,0.04194522953340739,0.04393829299381598,0.10796327002842003,0.024704615523435045,0.10373052766473015,LinearRegression,b_g_m_Contrac_LinearRegression
b_g_m_Chemo_RandomForest,0.6750759482383728,0.35760501623153684,0.6474493980407715,0.6361072301864624,0.6486827373504639,0.5582125365734101,0.7137645721435547,0.5329219222068786,0.06472559699695961,0.042104227123166714,0.03525770290429834,0.05295913425453636,0.03382485432756603,0.07656475924490064,0.09199445632232188,0.09110327686282717,RandomForest,b_g_m_Chemo_RandomForest
b_g_m_Chemo_SVM,0.702479338645935,0.3572280049324036,0.6425559282302856,0.6431468725204468,0.642397117614746,0.33186632245779035,0.9174592137336731,0.24721418991684913,0.08514206240876868,0.07775295073954075,0.07519194766120259,0.08145804864564438,0.07409095157766304,0.2005235532681748,0.05649178959727203,0.22627122538268649,SVM,b_g_m_Chemo_SVM
b_g_m_Chemo_NN,0.7055159687995911,0.3570999264717102,0.6425258636474609,0.6431468725204468,0.6426532745361329,0.3520848214626312,0.8987412452697754,0.2681015104055405,0.08704003775112035,0.07949285540958197,0.07860953031160606,0.08145804864564438,0.07819732794698055,0.09715100616633872,0.007891893299597382,0.09632302092975849,NN,b_g_m_Chemo_NN
b_g_m_Chemo_LogisticRegression,0.7083670020103454,0.3521676421165466,0.6454428911209107,0.6508391737937927,0.644825541973114,0.3380760967731476,0.8987412452697754,0.2519098162651062,0.08573905660234311,0.07426829979660844,0.07597853158621233,0.07253659663190551,0.07662063631089468,0.1102204503828163,0.007891893299597382,0.11305500772488951,LogisticRegression,b_g_m_Chemo_LogisticRegression
