auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90,Method,Dataset
65.9 (+/- 8.7),39.2 (+/- 10.1),61.1 (+/- 10.0),59.4 (+/- 11.0),62.1 (+/- 9.8),43.6 (+/- 13.8),89.8 (+/- 1.5),21.4 (+/- 19.5),RandomForest,b_m_TIC_phases_RandomForest
76.2 (+/- 6.7),29.2 (+/- 8.7),70.6 (+/- 8.8),71.1 (+/- 8.7),70.4 (+/- 8.8),44.8 (+/- 9.2),90.6 (+/- 1.1),22.0 (+/- 14.2),SVM,b_m_TIC_phases_SVM
76.3 (+/- 6.1),31.8 (+/- 6.1),68.4 (+/- 6.2),67.9 (+/- 5.7),68.5 (+/- 6.5),45.2 (+/- 11.3),91.8 (+/- 2.8),21.6 (+/- 17.7),NN,b_m_TIC_phases_NN
83.3 (+/- 5.0),23.5 (+/- 6.9),76.4 (+/- 6.9),76.6 (+/- 6.9),76.4 (+/- 6.8),54.2 (+/- 13.0),90.6 (+/- 1.1),36.2 (+/- 19.1),LogisticRegression,b_m_TIC_phases_LogisticRegression
79.1 (+/- 7.0),29.3 (+/- 6.3),70.8 (+/- 6.2),70.4 (+/- 6.4),70.9 (+/- 6.1),46.6 (+/- 9.2),90.6 (+/- 1.1),25.2 (+/- 12.3),LinearRegression,b_m_TIC_phases_LinearRegression
72.8 (+/- 7.0),33.2 (+/- 8.0),66.9 (+/- 7.6),66.3 (+/- 9.2),67.2 (+/- 6.8),47.5 (+/- 5.9),90.6 (+/- 1.1),26.4 (+/- 7.7),RandomForest,b_m_TIC_MS_autic_RandomForest
77.0 (+/- 5.8),28.1 (+/- 5.6),72.0 (+/- 5.6),71.8 (+/- 5.6),72.1 (+/- 5.6),43.1 (+/- 7.5),90.6 (+/- 1.1),19.8 (+/- 10.6),SVM,b_m_TIC_MS_autic_SVM
80.7 (+/- 4.4),25.5 (+/- 5.5),74.5 (+/- 5.4),74.3 (+/- 5.6),74.6 (+/- 5.3),45.2 (+/- 8.6),90.6 (+/- 1.1),23.2 (+/- 11.5),NN,b_m_TIC_MS_autic_NN
81.8 (+/- 3.9),25.6 (+/- 5.4),74.4 (+/- 5.4),74.3 (+/- 5.6),74.5 (+/- 5.3),48.5 (+/- 7.5),90.6 (+/- 1.1),27.9 (+/- 10.6),LogisticRegression,b_m_TIC_MS_autic_LogisticRegression
81.7 (+/- 3.9),25.8 (+/- 5.5),74.2 (+/- 5.4),74.3 (+/- 5.6),74.1 (+/- 5.4),48.8 (+/- 6.7),90.6 (+/- 1.1),28.3 (+/- 9.4),LinearRegression,b_m_TIC_MS_autic_LinearRegression
79.0 (+/- 4.9),27.0 (+/- 4.4),73.1 (+/- 4.2),72.5 (+/- 4.9),73.4 (+/- 3.9),60.4 (+/- 7.8),84.7 (+/- 3.3),48.4 (+/- 11.4),RandomForest,b_m_TIC_MS_RandomForest
78.8 (+/- 8.2),27.8 (+/- 7.4),71.7 (+/- 8.0),73.3 (+/- 6.2),71.0 (+/- 9.4),49.9 (+/- 14.9),90.0 (+/- 1.5),30.8 (+/- 21.1),SVM,b_m_TIC_MS_SVM
82.2 (+/- 3.9),24.9 (+/- 5.1),75.1 (+/- 5.1),75.0 (+/- 5.2),75.2 (+/- 5.1),51.4 (+/- 1.3),90.6 (+/- 1.1),32.0 (+/- 3.2),NN,b_m_TIC_MS_NN
82.2 (+/- 3.9),24.9 (+/- 5.1),75.1 (+/- 5.1),75.0 (+/- 5.2),75.2 (+/- 5.1),50.9 (+/- 1.8),90.6 (+/- 1.1),31.3 (+/- 3.6),LogisticRegression,b_m_TIC_MS_LogisticRegression
82.2 (+/- 3.9),24.9 (+/- 5.1),75.1 (+/- 5.1),75.0 (+/- 5.2),75.2 (+/- 5.1),51.2 (+/- 1.6),90.6 (+/- 1.1),31.7 (+/- 3.4),LinearRegression,b_m_TIC_MS_LinearRegression
47.5 (+/- 10.6),51.6 (+/- 8.3),48.4 (+/- 8.4),48.1 (+/- 8.4),48.7 (+/- 8.4),40.0 (+/- 6.1),79.5 (+/- 11.7),20.7 (+/- 5.8),RandomForest,b_m_TIC_autic_RandomForest
47.3 (+/- 5.4),52.7 (+/- 4.9),45.9 (+/- 4.1),51.7 (+/- 8.1),42.9 (+/- 3.7),35.2 (+/- 10.0),90.8 (+/- 1.7),8.3 (+/- 13.2),SVM,b_m_TIC_autic_SVM
58.9 (+/- 5.9),42.6 (+/- 3.6),57.4 (+/- 3.6),57.4 (+/- 3.8),57.4 (+/- 3.5),40.0 (+/- 7.9),91.8 (+/- 2.8),14.5 (+/- 9.9),NN,b_m_TIC_autic_NN
58.9 (+/- 5.9),42.6 (+/- 3.6),57.4 (+/- 3.6),57.4 (+/- 3.8),57.4 (+/- 3.5),40.0 (+/- 7.9),91.8 (+/- 2.8),14.5 (+/- 9.9),LogisticRegression,b_m_TIC_autic_LogisticRegression
58.9 (+/- 5.9),42.6 (+/- 3.6),57.4 (+/- 3.6),57.4 (+/- 3.8),57.4 (+/- 3.5),40.0 (+/- 7.9),91.8 (+/- 2.8),14.5 (+/- 9.9),LinearRegression,b_m_TIC_autic_LinearRegression
71.1 (+/- 10.4),35.0 (+/- 11.1),65.0 (+/- 11.2),65.1 (+/- 10.9),65.0 (+/- 11.4),46.0 (+/- 13.3),90.0 (+/- 1.9),24.8 (+/- 18.9),RandomForest,b_m_TIC_all_RandomForest
78.9 (+/- 6.0),26.0 (+/- 6.3),74.0 (+/- 6.3),74.1 (+/- 6.1),73.9 (+/- 6.5),45.8 (+/- 9.0),90.6 (+/- 1.1),23.7 (+/- 13.5),SVM,b_m_TIC_all_SVM
81.8 (+/- 4.3),24.3 (+/- 5.7),75.7 (+/- 5.8),75.8 (+/- 5.6),75.6 (+/- 5.9),45.9 (+/- 5.8),90.6 (+/- 1.1),24.0 (+/- 8.1),NN,b_m_TIC_all_NN
83.8 (+/- 4.2),23.0 (+/- 5.9),77.0 (+/- 5.9),77.1 (+/- 6.1),77.0 (+/- 5.8),55.3 (+/- 8.4),90.0 (+/- 1.9),38.3 (+/- 11.6),LogisticRegression,b_m_TIC_all_LogisticRegression
78.9 (+/- 6.4),29.8 (+/- 6.4),70.2 (+/- 6.4),70.4 (+/- 6.4),70.1 (+/- 6.4),49.2 (+/- 6.9),90.6 (+/- 1.1),28.9 (+/- 9.3),LinearRegression,b_m_TIC_all_LinearRegression
86.5 (+/- 4.7),20.3 (+/- 5.0),79.6 (+/- 5.0),80.1 (+/- 5.0),79.4 (+/- 5.0),58.6 (+/- 15.4),90.6 (+/- 1.1),43.3 (+/- 21.4),RandomForest,b_m_scalar_volume_MS_bbox_RandomForest
83.4 (+/- 5.8),23.3 (+/- 5.5),76.6 (+/- 5.5),76.9 (+/- 5.6),76.5 (+/- 5.4),57.3 (+/- 15.5),90.6 (+/- 1.1),41.8 (+/- 21.4),SVM,b_m_scalar_volume_MS_bbox_SVM
79.8 (+/- 6.6),23.9 (+/- 7.0),76.0 (+/- 7.0),76.3 (+/- 7.2),75.9 (+/- 6.9),48.3 (+/- 5.2),90.6 (+/- 1.1),27.5 (+/- 7.3),NN,b_m_scalar_volume_MS_bbox_NN
81.4 (+/- 6.4),27.1 (+/- 8.0),72.8 (+/- 8.1),73.2 (+/- 7.7),72.6 (+/- 8.2),55.3 (+/- 8.1),90.6 (+/- 1.1),37.9 (+/- 12.4),LogisticRegression,b_m_scalar_volume_MS_bbox_LogisticRegression
80.9 (+/- 6.2),27.6 (+/- 6.9),72.3 (+/- 6.8),72.6 (+/- 7.1),72.2 (+/- 6.7),54.7 (+/- 7.2),90.6 (+/- 1.1),36.9 (+/- 11.3),LinearRegression,b_m_scalar_volume_MS_bbox_LinearRegression
73.2 (+/- 8.8),32.7 (+/- 7.1),67.6 (+/- 7.1),66.7 (+/- 7.1),68.0 (+/- 7.2),55.2 (+/- 8.2),84.9 (+/- 6.8),40.5 (+/- 11.1),RandomForest,b_m_scalar_volume_RandomForest
80.4 (+/- 8.5),23.3 (+/- 8.4),76.7 (+/- 8.4),76.7 (+/- 8.4),76.7 (+/- 8.4),53.8 (+/- 13.4),90.6 (+/- 1.1),36.1 (+/- 18.7),SVM,b_m_scalar_volume_SVM
80.8 (+/- 8.6),23.3 (+/- 8.4),76.7 (+/- 8.4),76.7 (+/- 8.4),76.7 (+/- 8.4),53.8 (+/- 12.7),90.6 (+/- 1.1),36.1 (+/- 17.7),NN,b_m_scalar_volume_NN
80.8 (+/- 8.6),23.3 (+/- 8.4),76.7 (+/- 8.4),76.7 (+/- 8.4),76.7 (+/- 8.4),54.8 (+/- 11.8),90.6 (+/- 1.1),37.7 (+/- 16.3),LogisticRegression,b_m_scalar_volume_LogisticRegression
80.8 (+/- 8.6),23.3 (+/- 8.4),76.7 (+/- 8.4),76.7 (+/- 8.4),76.7 (+/- 8.4),58.3 (+/- 15.7),90.6 (+/- 1.1),43.2 (+/- 22.0),LinearRegression,b_m_scalar_volume_LinearRegression
58.4 (+/- 4.0),46.0 (+/- 5.1),54.1 (+/- 5.1),53.8 (+/- 5.1),54.3 (+/- 5.2),40.1 (+/- 6.7),90.5 (+/- 2.1),15.4 (+/- 7.5),RandomForest,b_m_scalar_elong_flatn_RandomForest
51.5 (+/- 9.3),46.3 (+/- 7.8),53.8 (+/- 7.4),53.3 (+/- 9.0),54.0 (+/- 6.7),33.9 (+/- 6.0),90.6 (+/- 1.1),6.1 (+/- 7.7),SVM,b_m_scalar_elong_flatn_SVM
59.7 (+/- 3.3),43.7 (+/- 5.8),56.4 (+/- 5.2),55.8 (+/- 8.0),56.9 (+/- 3.8),43.1 (+/- 7.8),92.0 (+/- 2.6),19.4 (+/- 9.3),NN,b_m_scalar_elong_flatn_NN
62.1 (+/- 11.6),41.2 (+/- 7.5),59.0 (+/- 7.4),58.4 (+/- 7.5),59.2 (+/- 7.4),46.8 (+/- 14.2),90.6 (+/- 1.1),25.6 (+/- 20.2),LogisticRegression,b_m_scalar_elong_flatn_LogisticRegression
61.4 (+/- 12.0),41.3 (+/- 7.6),58.7 (+/- 7.6),58.4 (+/- 7.5),58.9 (+/- 7.7),46.6 (+/- 14.2),90.6 (+/- 1.1),25.3 (+/- 20.4),LinearRegression,b_m_scalar_elong_flatn_LinearRegression
