ScanID,bounding_box_center_x,bounding_box_center_y,bounding_box_center_z,volume,max_slope
1_1_0,41.38278355,9.890260724,5.923438741,225.6652891,0.014780298
1_2_0,-101.3894415,61.68669498,85.67458059,309.4628232,0.033742175
10_1_0,79.63206214,1.583665381,35.59107023,10583.50592,0.02680853
10_2_0,89.86148992,-3.057441182,43.81071242,1304.420613,0.019918531
10_3_0,71.9599913,3.368706366,45.30519282,633.1079125,0.039488703
100_1_0,-39.87727894,-6.342647633,37.711092,7966.798498,0.022833645
103_1_0,-57.89680291,-2.789570764,-13.41404804,150.7731424,0.011978269
103_10_0,-104.7046714,65.0177329,68.19089143,549.9566606,0.020193249
103_2_0,-96.48649604,-14.27017244,-6.937465545,97.63723322,0.007311583
103_3_0,-87.5536967,-14.98771005,-5.642149046,122.8767901,0.015743166
103_4_0,-87.5536967,-2.072033159,13.1399402,62.43469335,0.008477867
103_5_0,-83.98057697,-14.62894124,13.1399402,114.9064037,0.010425806
103_6_0,-50.39325146,-44.40675185,19.61652269,195.9386653,0.01549682
103_7_0,-41.46045213,-22.8806237,27.38842169,57.78530129,0.006772935
103_8_0,85.38529846,-55.16981592,46.81816918,179.9978925,0.02131021
103_9_0,-125.7860779,74.70449056,61.06665068,830.2485818,0.016154647
104_1_0,-56.78523535,7.066652342,-44.75072479,7207.505333,0.026795924
104_2_0,-61.783769,30.6311681,-32.87572479,328.8886409,0.02078794
105_1_0,-52.74391759,1.92692459,-28.98143989,5387.529583,0.012381375
105_10_0,84.04343975,58.732023,37.5293366,158.0676251,0.024785727
105_11_0,89.05658898,63.79744579,36.85751057,346.7739088,0.031810403
105_12_0,95.86014863,69.94831632,40.2166407,248.5909346,0.037899703
105_2_0,-107.1723949,46.06846603,-26.29413579,127.4289665,0.010917917
105_3_0,98.36672325,48.23936151,-2.780224913,238.8422705,0.017063245
105_4_0,-113.9759545,75.73737094,13.34359969,1778.434866,0.026283637
