auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90,Method,Dataset
58.8 (+/- 10.9),44.4 (+/- 7.9),56.0 (+/- 7.7),55.0 (+/- 8.2),56.2 (+/- 7.7),24.3 (+/- 6.2),89.2 (+/- 1.8),14.0 (+/- 6.6),RandomForest,bg_m_TIC_phases_RandomForest
62.1 (+/- 5.2),41.1 (+/- 8.2),59.6 (+/- 7.8),57.9 (+/- 8.7),59.9 (+/- 7.7),25.5 (+/- 4.2),91.2 (+/- 2.9),15.0 (+/- 5.9),SVM,bg_m_TIC_phases_SVM
67.0 (+/- 11.6),35.8 (+/- 11.0),64.0 (+/- 10.9),64.4 (+/- 11.1),63.9 (+/- 10.9),30.9 (+/- 14.8),89.9 (+/- 0.6),21.7 (+/- 16.2),NN,bg_m_TIC_phases_NN
70.3 (+/- 7.4),34.0 (+/- 5.1),66.2 (+/- 5.0),65.8 (+/- 5.2),66.2 (+/- 5.0),32.5 (+/- 14.0),89.0 (+/- 1.4),23.7 (+/- 15.3),LogisticRegression,bg_m_TIC_phases_LogisticRegression
68.9 (+/- 6.5),35.8 (+/- 4.6),64.3 (+/- 4.6),64.2 (+/- 4.6),64.3 (+/- 4.6),31.7 (+/- 11.9),89.9 (+/- 0.6),22.6 (+/- 13.0),LinearRegression,bg_m_TIC_phases_LinearRegression
58.7 (+/- 9.2),42.8 (+/- 10.7),57.4 (+/- 9.9),56.8 (+/- 11.8),57.5 (+/- 9.6),23.5 (+/- 4.0),86.6 (+/- 3.8),13.5 (+/- 3.7),RandomForest,bg_m_TIC_MS_autic_RandomForest
48.5 (+/- 7.1),49.8 (+/- 5.3),49.5 (+/- 4.4),51.2 (+/- 14.9),49.3 (+/- 6.8),18.9 (+/- 5.5),89.9 (+/- 0.6),7.6 (+/- 5.7),SVM,bg_m_TIC_MS_autic_SVM
56.5 (+/- 10.9),43.9 (+/- 9.3),56.0 (+/- 9.0),56.1 (+/- 9.8),56.0 (+/- 8.9),27.3 (+/- 9.7),89.9 (+/- 0.6),17.5 (+/- 10.6),NN,bg_m_TIC_MS_autic_NN
61.6 (+/- 8.0),40.9 (+/- 6.2),59.0 (+/- 6.3),59.3 (+/- 6.2),59.0 (+/- 6.3),26.3 (+/- 7.8),89.9 (+/- 0.6),16.3 (+/- 8.4),LogisticRegression,bg_m_TIC_MS_autic_LogisticRegression
61.5 (+/- 7.6),40.8 (+/- 6.2),59.1 (+/- 6.2),59.3 (+/- 6.2),59.1 (+/- 6.2),26.1 (+/- 7.8),89.9 (+/- 0.6),16.1 (+/- 8.3),LinearRegression,bg_m_TIC_MS_autic_LinearRegression
