ScanID,elongation,flatness
1_1_0,1.045968072,2.197073515
1_2_0,1.408408122,1.522020021
10_1_0,1.190960574,1.200184286
10_2_0,1.0754623,2.063248794
10_3_0,1.368013211,1.063885959
100_1_0,1.203073081,1.229743187
103_1_0,1.412075912,1.708607593
103_10_0,1.539709066,1.075261411
103_2_0,1.610450036,1.317539547
103_3_0,1.209639795,1.551879984
103_4_0,1.755811558,1.784317217
103_5_0,1.333052071,2.216185538
103_6_0,1.218743503,1.50056781
103_7_0,1.400106772,1.387684212
103_8_0,1.722038803,1.708536233
103_9_0,1.701832534,1.280262502
104_1_0,1.024776208,1.091134848
104_2_0,1.313977334,1.324830737
105_1_0,1.018461318,1.083940627
105_10_0,1.033891974,3.024240151
105_11_0,1.639546855,1.367615385
105_12_0,1.514457391,1.555140512
105_2_0,1.169979892,2.162046879
105_3_0,1.36654038,2.508672899
105_4_0,1.483151064,1.843851679
105_5_0,2.54898174,1.769629024
105_6_0,1.129890881,1.90387173
105_7_0,2.064787328,1.559931461
105_8_0,1.905305222,1.280523747
105_9_0,1.950934698,1.285256008
106_1_0,1.476569292,1.295907286
106_2_0,1.511590759,1.532538024
106_3_0,1.293021418,1.992940701
106_4_0,1.050595634,3.602305481
106_5_0,1.860175185,1.627966577
106_6_0,1.409371052,2.165588684
106_7_0,1.291772248,1.191070704
107_1_0,1.23176806,1.380698171
107_2_0,1.360584504,1.141389
107_3_0,1.23909904,1.279075119
107_4_0,1.481108065,1.506462719
107_5_0,1.200343603,1.240049993
107_6_0,1.230995804,1.638571513
107_7_0,1.716703619,1.417911777
107_8_0,1.344128723,1.368423298
107_9_0,1.676490768,1.425434447
108_1_0,1.60316785,1.082901045
108_2_0,1.419346506,1.250729075
108_3_0,1.340266927,1.92671857
108_4_0,1.606421523,1.127088911
108_5_0,1.3456521,1.199575592
109_1_0,1.29789143,1.856744249
109_2_0,1.553688729,1.549038629
109_3_0,1.638402568,1.016837635
109_4_0,1.728477452,1.625402786
109_5_0,1.355321978,1.756914241
109_6_0,2.033849144,1.371152524
109_7_0,1.811071452,1.523468144
109_8_0,1.349304798,1.53606493
11_1_0,1.155849793,2.067220209
11_2_0,1.139267698,1.502138755
11_3_0,1.266546515,1.079688025
11_4_0,1.092194471,1.194039692
110_1_0,1.3878481,1.815090607
111_1_0,1.161413279,1.540843528
111_2_0,1.234241938,1.397601858
111_3_0,1.362243254,1.489699923
111_4_0,1.164281805,2.241707445
111_5_0,2.121264938,1.609419307
111_6_0,1.585554515,1.233009912
111_7_0,1.19242184,1.091769115
112_1_0,1.613831402,1.457025265
112_2_0,1.83813346,1.249492133
114_1_0,1.699181251,1.290422817
114_2_0,1.319713035,2.90536695
114_3_0,1.105788565,1.284605258
114_4_0,1.454751361,1.152732286
114_5_0,1.342014505,1.290894404
114_6_0,1.375111094,1.22694503
114_7_0,1.42038122,1.478215138
114_8_0,1.637162275,1.644340025
115_1_0,1.557192897,1.274621271
115_10_0,1.926756641,1.130684847
115_11_0,1.144655837,1.584653323
115_2_0,1.099492748,1.719664395
115_3_0,1.076521486,1.493425634
115_4_0,1.380378413,2.921525872
115_5_0,1.231525023,2.082866479
115_6_0,1.693419163,1.226101935
115_7_0,1.527376729,1.589427505
115_8_0,1.31084754,1.339024389
115_9_0,1.431395816,1.715130628
116_1_0,1.364992983,1.790509071
116_2_0,1.201435705,1.274081397
116_3_0,1.108323318,2.143163224
116_4_0,1.802755045,1.52131638
116_5_0,1.499950961,1.254731734
116_6_0,1.64492915,1.207958872
116_7_0,1.56734084,1.275622846
116_8_0,1.468838014,1.465275907
116_9_0,1.54069599,1.089590892
118_1_0,1.151614137,1.584809368
118_2_0,1.37546189,1.023765628
118_3_0,1.53731751,1.865729893
118_4_0,1.473027005,1.159105282
118_5_0,1.162808894,2.961186982
118_6_0,1.064150295,1.679671864
118_7_0,1.156542023,1.478907538
119_1_0,1.296098333,1.348690592
119_2_0,1.231809232,1.518144264
12_1_0,1.41455963,1.998474447
12_2_0,1.504517658,1.950209248
120_1_0,1.343059639,1.392073064
120_2_0,1.369054891,2.313345376
120_3_0,2.377102722,1.153700327
120_4_0,1.847888154,1.098836567
120_5_0,1.411352804,1.642764011
120_6_0,1.875407465,1.227155992
122_1_0,1.385167792,1.0837759
122_10_0,1.605388431,2.054758895
122_11_0,1.086398537,1.656143048
122_12_0,1.557538851,1.965201806
122_13_0,1.539097474,1.425792422
122_14_0,1.090471315,1.580958379
122_15_0,1.448693858,1.63375895
122_16_0,1.496084478,1.373109407
122_17_0,1.268354007,1.574221487
122_18_0,1.117489366,1.331832777
122_19_0,1.425184551,1.362563801
122_2_0,1.181926907,3.573385552
122_20_0,1.572350867,1.26359824
122_3_0,1.376511306,1.272734616
122_4_0,1.36926964,3.392163202
122_5_0,1.514512769,2.554923182
122_6_0,1.713948009,1.991960005
122_7_0,1.795474375,1.596206354
122_8_0,1.506932915,1.837402816
122_9_0,1.426881837,2.445741781
123_1_0,1.140861781,3.456860022
123_10_0,1.139747761,1.806091911
123_11_0,1.408682473,1.510798663
123_2_0,1.242218281,2.49057843
123_3_0,1.629563703,2.91708297
123_4_0,1.561200814,2.182095867
123_5_0,1.479022489,2.738567923
123_6_0,1.221780384,1.741815064
123_7_0,1.686963162,1.20444762
123_8_0,1.256117067,1.077950725
123_9_0,1.286986503,1.412626124
124_1_0,1.093535756,1.371933219
124_2_0,1.727187136,1.909897751
124_3_0,1.502894675,1.933125218
124_4_0,1.549822613,1.387178832
124_5_0,1.563607295,1.325850982
124_6_0,1.448950737,1.370341271
124_7_0,1.394473645,1.133185075
124_8_0,1.9675825,1.338229009
125_1_0,1.072611996,1.673544115
125_2_0,1.412737078,1.117697724
125_3_0,1.472795099,1.314936237
125_4_0,1.462587486,1.861804172
125_5_0,1.47555483,1.250478515
126_1_0,1.104838216,1.194797998
127_1_0,1.471689615,1.141844062
127_2_0,1.714407333,1.123053918
128_1_0,1.465668592,1.104108519
128_2_0,1.633510808,2.145558701
128_3_0,1.15899056,1.846666923
128_4_0,1.647739464,1.265394638
129_1_0,1.332315116,1.462810151
129_10_0,1.569321547,1.770552467
129_2_0,1.413649213,1.639572483
129_2_1,1.413649213,1.639572483
129_2_2,1.413649213,1.639572483
129_2_3,1.413649213,1.639572483
129_2_4,1.413649213,1.639572483
129_3_0,1.27791928,1.738321849
129_4_0,1.221414766,2.143722552
129_5_0,1.392208019,2.112801559
129_6_0,1.316989016,2.501725374
129_7_0,1.331715783,1.6055504
