ScanID,volume
1_1_0,225.6652891
1_2_0,309.4628232
10_1_0,10583.50592
10_2_0,1304.420613
10_3_0,633.1079125
100_1_0,7966.798498
103_1_0,150.7731424
103_10_0,549.9566606
103_2_0,97.63723322
103_3_0,122.8767901
103_4_0,62.43469335
103_5_0,114.9064037
103_6_0,195.9386653
103_7_0,57.78530129
103_8_0,179.9978925
103_9_0,830.2485818
104_1_0,7207.505333
104_2_0,328.8886409
105_1_0,5387.529583
105_10_0,158.0676251
105_11_0,346.7739088
105_12_0,248.5909346
105_2_0,127.4289665
105_3_0,238.8422705
105_4_0,1778.434866
105_5_0,2212.946751
105_6_0,167.119956
105_7_0,1703.927219
105_8_0,866.2384388
105_9_0,528.516861
106_1_0,690.5928993
106_2_0,277.510142
106_3_0,199.2217304
106_4_0,147.6659471
106_5_0,807.7072712
106_6_0,197.3122569
106_7_0,322.0645226
107_1_0,293.0950933
107_2_0,270.5973889
107_3_0,331.8411398
107_4_0,253.7241106
107_5_0,641.1845752
107_6_0,208.7287019
107_7_0,521.1968184
107_8_0,1134.259263
107_9_0,465.5774937
108_1_0,191.2304873
108_2_0,4953.244584
108_3_0,113.7383944
108_4_0,327.4665862
108_5_0,366.8375688
109_1_0,8228.000898
109_2_0,192.0032396
109_3_0,491.5945014
109_4_0,213.5208441
109_5_0,415.4552857
109_6_0,847.4625748
109_7_0,535.4573105
109_8_0,604.1481246
11_1_0,551.8851321
11_2_0,1789.951899
11_3_0,722.2612927
11_4_0,528.5001689
110_1_0,908.4431568
111_1_0,297.2400127
111_2_0,351.6818677
111_3_0,915.4992391
111_4_0,1317.868351
111_5_0,784.7136336
111_6_0,565.6946768
111_7_0,346.6757201
112_1_0,333.8535568
112_2_0,333.8535568
114_1_0,5446.944208
114_2_0,82.49158277
114_3_0,483.0757082
114_4_0,8892.217661
114_5_0,357.4635253
114_6_0,277.4716875
114_7_0,308.7184992
114_8_0,274.9719426
115_1_0,712.2377289
115_10_0,465.8462565
115_11_0,354.1382256
115_2_0,417.5186686
115_3_0,414.3496465
115_4_0,110.1235198
115_5_0,247.9759835
115_6_0,570.4239875
115_7_0,308.1874044
115_8_0,227.3773395
115_9_0,598.9451869
116_1_0,315.2572981
116_2_0,719.1114949
116_3_0,154.3062653
116_4_0,220.7539394
116_5_0,273.9120786
116_6_0,280.556846
116_7_0,231.8285517
116_8_0,262.0991588
116_9_0,293.1080734
118_1_0,158.5559717
118_2_0,322.6753109
118_3_0,149.5154996
118_4_0,276.7775296
118_5_0,148.8200787
118_6_0,200.9766484
118_7_0,214.8850669
119_1_0,1132.746886
119_2_0,205.9539793
12_1_0,173.9590989
12_2_0,147.1458543
120_1_0,107.3133268
120_2_0,85.28211401
120_3_0,1425.632672
120_4_0,1300.552239
120_5_0,601.2389038
120_6_0,218.8907593
122_1_0,256.736433
122_10_0,251.4292199
122_11_0,182.4354498
122_12_0,248.1122117
122_13_0,386.0997519
122_14_0,650.7970046
122_15_0,229.5369659
122_16_0,225.5565561
122_17_0,1013.677699
122_18_0,511.4826611
122_19_0,896.9190114
122_2_0,117.4220895
122_20_0,223.5663512
122_3_0,208.3081136
122_4_0,111.4514748
122_5_0,234.844179
122_6_0,121.4024993
122_7_0,159.2163926
122_8_0,162.5334007
122_9_0,134.670532
123_1_0,120.2942958
123_10_0,650.4535875
123_11_0,2395.081039
123_2_0,126.0568968
123_3_0,134.7007983
123_4_0,179.360956
123_5_0,175.7593304
123_6_0,239.8682665
123_7_0,852.1446223
123_8_0,356.5609367
123_9_0,349.3576854
124_1_0,549.989532
124_2_0,1608.861131
124_3_0,141.7498794
124_4_0,474.8620959
124_5_0,220.4210624
124_6_0,518.8045585
124_7_0,573.3782621
124_8_0,1120.532797
125_1_0,1160.21553
125_2_0,300.015329
125_3_0,655.5022423
125_4_0,620.3441959
125_5_0,660.1899818
126_1_0,3463.613761
127_1_0,447.2096613
127_2_0,301.2224602
128_1_0,904.8202114
128_2_0,111.8467619
128_3_0,243.1160153
128_4_0,253.8318728
129_1_0,841.1641698
129_10_0,203.1042758
129_2_0,19862.97323
129_2_1,19862.97323
129_2_2,19862.97323
129_2_3,19862.97323
129_2_4,19862.97323
129_3_0,274.9719426
129_4_0,271.2223252
129_5_0,159.9836757
129_6_0,192.4803598
129_7_0,248.7246208
129_8_0,303.7190093
129_9_0,249.9744933
130_1_0,200.8318879
130_10_0,334.7198132
130_11_0,132.0109918
130_12_0,137.6417923
130_13_0,232.1141135
130_14_0,317.2017669
130_15_0,165.7957953
130_2_0,177.0573965
130_3_0,159.5393502
130_4_0,101.9800552
130_5_0,240.8731366
130_6_0,110.7390784
130_7_0,324.709501
130_8_0,182.6881971
130_9_0,390.4021747
131_1_0,519.2234201
131_2_0,301.8740814
132_1_0,326.0250569
132_2_0,269.4696899
132_3_0,660.6997583
132_4_0,1005.354818
133_1_0,183.7505174
134_1_0,487.2915409
134_10_0,195.1995142
134_11_0,132.2547433
134_12_0,118.109851
134_13_0,58.70130319
134_14_0,199.4429819
134_15_0,82.74762016
134_16_0,101.8432248
134_17_0,503.5581671
134_18_0,617.4245504
134_19_0,514.874081
134_2_0,335.9411929
134_3_0,227.7327666
134_4_0,239.7559251
134_5_0,118.8170956
134_6_0,28.28978467
134_7_0,238.3414358
134_8_0,316.8455883
134_9_0,199.4429819
135_1_0,289.21636
135_10_0,304.5082595
135_11_0,365.6758574
135_2_0,138.9568258
135_3_0,241.3460659
135_4_0,353.0434187
135_5_0,203.4487498
135_6_0,390.9407348
135_7_0,489.3407837
135_8_0,140.2865562
135_9_0,163.556838
