auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90,Method,Dataset
68.7 (+/- 3.2),34.6 (+/- 1.9),65.1 (+/- 2.5),65.8 (+/- 2.1),64.9 (+/- 2.8),59.4 (+/- 4.8),69.3 (+/- 3.2),57.8 (+/- 5.5),RandomForest,bg_m_PatRisk_RandomForest
62.8 (+/- 5.8),39.6 (+/- 6.9),57.6 (+/- 17.7),63.7 (+/- 14.4),57.1 (+/- 22.0),19.9 (+/- 1.4),92.0 (+/- 2.6),8.4 (+/- 2.7),SVM,bg_m_PatRisk_SVM
77.4 (+/- 5.4),30.6 (+/- 6.1),69.6 (+/- 6.2),69.2 (+/- 6.1),69.7 (+/- 6.2),43.0 (+/- 10.1),89.9 (+/- 0.6),35.5 (+/- 11.9),NN,bg_m_PatRisk_NN
77.7 (+/- 5.6),29.5 (+/- 6.5),70.2 (+/- 6.7),70.8 (+/- 6.3),70.2 (+/- 6.8),42.2 (+/- 14.8),89.9 (+/- 0.6),34.4 (+/- 17.6),LogisticRegression,bg_m_PatRisk_LogisticRegression
77.5 (+/- 6.1),30.9 (+/- 6.2),69.1 (+/- 6.4),69.2 (+/- 6.1),69.1 (+/- 6.4),45.4 (+/- 11.5),90.6 (+/- 1.4),38.1 (+/- 13.5),LinearRegression,bg_m_PatRisk_LinearRegression
66.3 (+/- 5.3),38.1 (+/- 5.8),61.6 (+/- 5.5),62.4 (+/- 6.4),61.5 (+/- 5.4),51.5 (+/- 2.6),70.6 (+/- 10.5),48.4 (+/- 3.6),RandomForest,bg_m_MenoStatus_RandomForest
61.2 (+/- 7.8),41.2 (+/- 8.2),59.9 (+/- 12.5),57.0 (+/- 7.1),60.5 (+/- 14.4),19.1 (+/- 3.9),91.3 (+/- 2.7),7.6 (+/- 5.3),SVM,bg_m_MenoStatus_SVM
70.4 (+/- 8.1),35.0 (+/- 5.9),64.5 (+/- 6.2),65.6 (+/- 5.6),64.4 (+/- 6.3),33.8 (+/- 12.7),90.0 (+/- 1.9),25.0 (+/- 14.2),NN,bg_m_MenoStatus_NN
70.0 (+/- 6.7),34.9 (+/- 6.1),64.8 (+/- 6.1),65.6 (+/- 6.3),64.6 (+/- 6.1),30.8 (+/- 12.0),88.6 (+/- 1.7),21.8 (+/- 13.3),LogisticRegression,bg_m_MenoStatus_LogisticRegression
71.0 (+/- 7.3),34.2 (+/- 6.4),65.9 (+/- 6.5),65.6 (+/- 6.3),66.0 (+/- 6.6),30.9 (+/- 12.0),90.6 (+/- 1.3),21.6 (+/- 13.2),LinearRegression,bg_m_MenoStatus_LinearRegression
65.3 (+/- 5.6),38.7 (+/- 5.0),60.3 (+/- 4.5),62.7 (+/- 6.2),59.9 (+/- 4.4),54.3 (+/- 4.7),70.8 (+/- 9.8),51.7 (+/- 5.3),RandomForest,bg_m_FamRisk_RandomForest
60.5 (+/- 9.0),40.8 (+/- 9.8),65.3 (+/- 17.4),51.1 (+/- 11.0),67.4 (+/- 20.4),19.8 (+/- 2.3),89.2 (+/- 2.6),8.7 (+/- 2.6),SVM,bg_m_FamRisk_SVM
71.4 (+/- 9.1),34.3 (+/- 6.8),65.4 (+/- 6.8),66.2 (+/- 6.9),65.2 (+/- 6.8),35.1 (+/- 14.5),89.2 (+/- 1.8),26.7 (+/- 16.1),NN,bg_m_FamRisk_NN
72.0 (+/- 8.2),35.1 (+/- 7.2),64.9 (+/- 7.3),65.0 (+/- 7.1),64.9 (+/- 7.4),32.4 (+/- 13.9),90.6 (+/- 1.4),23.3 (+/- 15.2),LogisticRegression,bg_m_FamRisk_LogisticRegression
72.2 (+/- 8.4),35.1 (+/- 7.7),65.0 (+/- 7.7),64.8 (+/- 7.7),65.0 (+/- 7.7),36.3 (+/- 14.7),89.9 (+/- 0.6),28.0 (+/- 16.1),LinearRegression,bg_m_FamRisk_LinearRegression
60.9 (+/- 3.8),41.4 (+/- 4.9),59.0 (+/- 3.4),58.1 (+/- 7.3),59.0 (+/- 3.0),52.2 (+/- 3.4),62.9 (+/- 8.6),50.3 (+/- 4.5),RandomForest,bg_m_Contrac_RandomForest
59.0 (+/- 7.3),40.6 (+/- 10.0),66.2 (+/- 19.3),50.3 (+/- 13.1),68.4 (+/- 23.1),19.9 (+/- 4.5),90.8 (+/- 2.4),8.8 (+/- 4.4),SVM,bg_m_Contrac_SVM
71.0 (+/- 10.1),33.8 (+/- 9.1),66.6 (+/- 8.6),65.8 (+/- 9.9),66.7 (+/- 8.5),33.4 (+/- 12.7),89.9 (+/- 0.6),24.5 (+/- 13.9),NN,bg_m_Contrac_NN
70.9 (+/- 10.4),34.2 (+/- 9.7),65.8 (+/- 9.5),65.8 (+/- 9.9),65.8 (+/- 9.5),32.1 (+/- 11.2),89.9 (+/- 0.6),23.1 (+/- 12.1),LogisticRegression,bg_m_Contrac_LogisticRegression
71.1 (+/- 10.3),33.5 (+/- 9.2),66.5 (+/- 8.7),66.5 (+/- 9.9),66.5 (+/- 8.6),33.2 (+/- 12.1),89.9 (+/- 0.6),24.3 (+/- 13.2),LinearRegression,bg_m_Contrac_LinearRegression
69.0 (+/- 3.0),33.5 (+/- 3.8),66.3 (+/- 4.1),66.7 (+/- 3.5),66.2 (+/- 4.1),57.9 (+/- 4.1),71.6 (+/- 2.9),55.7 (+/- 5.1),RandomForest,bg_m_Chemo_RandomForest
57.1 (+/- 9.4),43.4 (+/- 10.0),62.9 (+/- 14.7),47.6 (+/- 9.3),65.5 (+/- 17.1),18.0 (+/- 2.4),91.9 (+/- 2.7),6.2 (+/- 3.3),SVM,bg_m_Chemo_SVM
71.5 (+/- 10.1),34.5 (+/- 8.5),65.6 (+/- 8.7),65.3 (+/- 8.2),65.7 (+/- 8.8),35.3 (+/- 14.7),89.9 (+/- 0.6),26.8 (+/- 16.4),NN,bg_m_Chemo_NN
71.1 (+/- 10.0),34.8 (+/- 8.0),65.1 (+/- 8.0),65.3 (+/- 8.2),65.1 (+/- 7.9),34.6 (+/- 15.5),89.9 (+/- 0.6),26.0 (+/- 17.4),LogisticRegression,bg_m_Chemo_LogisticRegression
71.2 (+/- 9.9),34.3 (+/- 8.1),65.5 (+/- 8.1),66.0 (+/- 8.2),65.4 (+/- 8.1),34.3 (+/- 15.1),89.9 (+/- 0.6),25.6 (+/- 16.9),LinearRegression,bg_m_Chemo_LinearRegression
66.2 (+/- 5.9),38.5 (+/- 8.9),61.0 (+/- 8.2),62.2 (+/- 9.9),60.8 (+/- 8.0),43.6 (+/- 6.3),79.3 (+/- 15.2),38.0 (+/- 8.5),RandomForest,bg_m_cat_all_RandomForest
62.4 (+/- 9.6),43.3 (+/- 7.1),53.7 (+/- 9.5),60.8 (+/- 5.9),52.6 (+/- 10.6),22.4 (+/- 5.4),89.9 (+/- 0.6),11.7 (+/- 6.0),SVM,bg_m_cat_all_SVM
76.4 (+/- 5.9),31.1 (+/- 5.6),68.8 (+/- 5.7),69.0 (+/- 5.6),68.8 (+/- 5.7),40.4 (+/- 11.3),90.6 (+/- 1.4),32.3 (+/- 13.3),NN,bg_m_cat_all_NN
75.5 (+/- 6.0),33.2 (+/- 7.2),66.8 (+/- 7.0),66.8 (+/- 7.5),66.8 (+/- 6.9),39.3 (+/- 7.8),89.9 (+/- 0.6),31.1 (+/- 9.5),LogisticRegression,bg_m_cat_all_LogisticRegression
74.6 (+/- 6.2),34.4 (+/- 5.7),66.0 (+/- 5.5),65.1 (+/- 5.9),66.1 (+/- 5.5),35.8 (+/- 11.9),90.6 (+/- 1.4),27.2 (+/- 13.0),LinearRegression,bg_m_cat_all_LinearRegression
68.1 (+/- 3.3),34.5 (+/- 4.8),65.2 (+/- 4.5),65.8 (+/- 5.2),65.1 (+/- 4.4),56.7 (+/- 5.0),69.3 (+/- 5.5),54.6 (+/- 6.4),RandomForest,bg_m_BRCA_RandomForest
60.6 (+/- 7.3),40.7 (+/- 8.3),63.2 (+/- 15.6),53.6 (+/- 8.3),65.1 (+/- 18.6),22.0 (+/- 2.7),92.7 (+/- 0.9),10.7 (+/- 3.6),SVM,bg_m_BRCA_SVM
71.1 (+/- 10.4),35.2 (+/- 8.2),64.2 (+/- 8.9),65.5 (+/- 7.4),64.1 (+/- 9.1),35.4 (+/- 15.0),89.2 (+/- 1.6),27.0 (+/- 16.7),NN,bg_m_BRCA_NN
72.5 (+/- 9.8),34.1 (+/- 8.3),65.9 (+/- 8.0),65.9 (+/- 8.8),65.9 (+/- 7.9),38.4 (+/- 14.1),89.2 (+/- 1.6),30.5 (+/- 15.6),LogisticRegression,bg_m_BRCA_LogisticRegression
72.3 (+/- 9.9),34.3 (+/- 8.4),65.6 (+/- 8.2),65.9 (+/- 8.8),65.5 (+/- 8.1),37.6 (+/- 14.1),89.9 (+/- 0.6),29.4 (+/- 15.7),LinearRegression,bg_m_BRCA_LinearRegression
