auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90,Method,Dataset
72.0 (+/- 9.6),34.2 (+/- 7.9),66.0 (+/- 7.8),65.6 (+/- 8.0),66.1 (+/- 7.8),45.1 (+/- 14.9),89.3 (+/- 1.1),26.7 (+/- 20.2),RandomForest,b_m_all_tic_scalar_all_RandomForest
77.0 (+/- 5.8),28.7 (+/- 7.9),71.3 (+/- 7.7),71.1 (+/- 8.2),71.5 (+/- 7.6),39.8 (+/- 10.1),89.3 (+/- 1.1),18.7 (+/- 14.2),SVM,b_m_all_tic_scalar_all_SVM
77.8 (+/- 4.5),26.4 (+/- 5.1),73.5 (+/- 5.1),73.7 (+/- 5.1),73.4 (+/- 5.1),39.7 (+/- 3.0),89.3 (+/- 1.1),18.3 (+/- 5.4),NN,b_m_all_tic_scalar_all_NN
81.0 (+/- 4.3),26.9 (+/- 6.0),73.0 (+/- 6.1),73.2 (+/- 6.0),72.9 (+/- 6.1),48.6 (+/- 11.6),89.3 (+/- 1.1),31.2 (+/- 16.8),LogisticRegression,b_m_all_tic_scalar_all_LogisticRegression
77.1 (+/- 6.6),29.1 (+/- 10.4),70.8 (+/- 10.2),71.2 (+/- 11.0),70.7 (+/- 9.8),46.1 (+/- 5.3),89.3 (+/- 1.1),27.5 (+/- 6.9),LinearRegression,b_m_all_tic_scalar_all_LinearRegression
43.4 (+/- 5.4),53.8 (+/- 5.6),46.2 (+/- 5.4),46.3 (+/- 6.2),46.2 (+/- 5.0),34.6 (+/- 3.9),79.6 (+/- 7.8),15.4 (+/- 5.0),RandomForest,b_m_all_tic_scalar_autic_RandomForest
43.0 (+/- 9.3),56.2 (+/- 9.4),41.8 (+/- 9.6),49.1 (+/- 10.4),38.5 (+/- 10.9),31.3 (+/- 4.2),89.0 (+/- 4.4),6.3 (+/- 6.8),SVM,b_m_all_tic_scalar_autic_SVM
59.9 (+/- 6.7),44.9 (+/- 6.5),55.3 (+/- 6.7),54.8 (+/- 6.0),55.5 (+/- 7.0),37.2 (+/- 4.0),89.3 (+/- 1.1),14.5 (+/- 7.7),NN,b_m_all_tic_scalar_autic_NN
61.6 (+/- 7.4),43.6 (+/- 8.0),56.4 (+/- 8.0),56.6 (+/- 7.9),56.3 (+/- 8.1),37.2 (+/- 4.0),89.3 (+/- 1.1),14.5 (+/- 7.7),LogisticRegression,b_m_all_tic_scalar_autic_LogisticRegression
61.6 (+/- 7.4),43.6 (+/- 8.0),56.4 (+/- 8.0),56.6 (+/- 7.9),56.3 (+/- 8.1),37.2 (+/- 4.0),89.3 (+/- 1.1),14.5 (+/- 7.7),LinearRegression,b_m_all_tic_scalar_autic_LinearRegression
74.5 (+/- 5.8),32.1 (+/- 5.6),68.0 (+/- 5.7),67.9 (+/- 5.3),68.0 (+/- 5.9),54.6 (+/- 10.5),84.9 (+/- 7.0),41.7 (+/- 13.2),RandomForest,b_m_all_tic_scalar_MS_RandomForest
77.6 (+/- 9.9),31.8 (+/- 10.2),67.4 (+/- 10.8),70.3 (+/- 9.1),66.1 (+/- 12.0),50.2 (+/- 7.1),90.8 (+/- 1.8),32.5 (+/- 11.3),SVM,b_m_all_tic_scalar_MS_SVM
81.3 (+/- 2.2),25.9 (+/- 4.0),74.3 (+/- 4.0),73.8 (+/- 3.9),74.4 (+/- 4.1),48.9 (+/- 7.5),89.3 (+/- 1.1),31.7 (+/- 9.8),NN,b_m_all_tic_scalar_MS_NN
81.3 (+/- 2.2),25.9 (+/- 4.0),74.3 (+/- 4.0),73.8 (+/- 3.9),74.4 (+/- 4.1),48.4 (+/- 7.9),89.3 (+/- 1.1),31.0 (+/- 10.3),LogisticRegression,b_m_all_tic_scalar_MS_LogisticRegression
81.3 (+/- 2.2),25.9 (+/- 4.0),74.3 (+/- 4.0),73.8 (+/- 3.9),74.4 (+/- 4.1),48.6 (+/- 7.7),89.3 (+/- 1.1),31.3 (+/- 9.9),LinearRegression,b_m_all_tic_scalar_MS_LinearRegression
