,auroc_mean,eer_mean,accuracy_at_eer_mean,sensitivity_at_eer_mean,specificity_at_eer_mean,accuracy_at_sensitivity90_mean,sensitivity_at_sensitivity90_mean,specificity_at_sensitivity90_mean,auroc_std,eer_std,accuracy_at_eer_std,sensitivity_at_eer_std,specificity_at_eer_std,accuracy_at_sensitivity90_std,sensitivity_at_sensitivity90_std,specificity_at_sensitivity90_std,Method,Dataset
b_m_all_tic_scalar_all_RandomForest,0.7204986810684204,0.3415625751018524,0.6596563339233399,0.6556063652038574,0.6612684845924377,0.45140616297721864,0.8930505633354187,0.2670110061764717,0.09577319238128487,0.07891753744172622,0.07835838577575668,0.08045113460832444,0.07781917877110198,0.14883139657561692,0.01134961081968895,0.2017458325479653,RandomForest,b_m_all_tic_scalar_all_RandomForest
b_m_all_tic_scalar_all_SVM,0.7702125906944275,0.28722192645072936,0.7134177923202515,0.710784375667572,0.7147717714309693,0.3981627345085144,0.8930505633354187,0.1867767333984375,0.05843912488300047,0.07860204694413121,0.07730639133728547,0.08158834261199821,0.07583971934102336,0.10064191405150456,0.01134961081968895,0.1423784335768065,SVM,b_m_all_tic_scalar_all_SVM
b_m_all_tic_scalar_all_NN,0.778362774848938,0.2643407344818115,0.7351023435592652,0.7374207854270936,0.7338977456092834,0.3970201790332794,0.8930505633354187,0.18274614810943604,0.045269667096747235,0.05087640429046875,0.05089511547249058,0.051428754227097764,0.05056503677212833,0.0304772896769343,0.01134961081968895,0.05374219696226054,NN,b_m_all_tic_scalar_all_NN
b_m_all_tic_scalar_all_LogisticRegression,0.8096371293067932,0.2691874563694,0.7304198503494262,0.7324845194816589,0.7291405677795411,0.48647828698158263,0.8930505633354187,0.31214040517807007,0.04300381904865343,0.05993537397411226,0.06053867080726122,0.059519773379231325,0.061146180125398644,0.11583069302016066,0.01134961081968895,0.16824585206221485,LogisticRegression,b_m_all_tic_scalar_all_LogisticRegression
b_m_all_tic_scalar_all_LinearRegression,0.7714836478233338,0.29083468317985534,0.7082064747810364,0.7115635633468628,0.7067670702934266,0.46060320138931277,0.8930505633354187,0.2753419458866119,0.06639766544588818,0.1039765727377832,0.10177861601023987,0.10996868007673609,0.09818571246251347,0.05266454337007348,0.01134961081968895,0.06933832549469959,LinearRegression,b_m_all_tic_scalar_all_LinearRegression
b_m_all_tic_scalar_autic_RandomForest,0.4337508320808411,0.5375604331493378,0.4621664762496948,0.46326144933700564,0.46161769032478334,0.3462952792644501,0.7959977388381958,0.15383443236351013,0.05445773885476774,0.055715286378645236,0.0535382024589743,0.06183452963453146,0.050079487965225704,0.03855651045865064,0.07773719111283221,0.04987226238194094,RandomForest,b_m_all_tic_scalar_autic_RandomForest
b_m_all_tic_scalar_autic_SVM,0.43024763464927673,0.561846661567688,0.4183042824268341,0.4909910261631012,0.38531569242477415,0.3126371204853058,0.8899449706077576,0.06294470056891441,0.09317694274303776,0.0937951230410155,0.0964998212493578,0.10438740748127921,0.10915218323696317,0.041744976669068054,0.044169369773718714,0.06830172010910207,SVM,b_m_all_tic_scalar_autic_SVM
b_m_all_tic_scalar_autic_NN,0.598630166053772,0.448823082447052,0.5525740921497345,0.5476382911205292,0.5547155380249024,0.3718372642993927,0.8930505633354187,0.14548676013946532,0.06740400963983434,0.06466412415697981,0.06677460962933575,0.059762483886060494,0.0696679156882472,0.04006917674946458,0.01134961081968895,0.07737476511032254,NN,b_m_all_tic_scalar_autic_NN
b_m_all_tic_scalar_autic_LogisticRegression,0.6160551905632019,0.4358181834220886,0.5635577023029328,0.5658569276332855,0.5625066995620728,0.3718372642993927,0.8930505633354187,0.14548676013946532,0.07386148444421176,0.08011807708514487,0.08047950730330633,0.07941800458510943,0.08091296304521359,0.04006917674946458,0.01134961081968895,0.07737476511032254,LogisticRegression,b_m_all_tic_scalar_autic_LogisticRegression
b_m_all_tic_scalar_autic_LinearRegression,0.6160551905632019,0.4358181834220886,0.5635577023029328,0.5658569276332855,0.5625066995620728,0.3718372642993927,0.8930505633354187,0.14548676013946532,0.07386148444421176,0.08011807708514487,0.08047950730330633,0.07941800458510943,0.08091296304521359,0.04006917674946458,0.01134961081968895,0.07737476511032254,LinearRegression,b_m_all_tic_scalar_autic_LinearRegression
