ScanID,max_slope,autic
1_1_0,0.014780298,2.8652074
1_2_0,0.033742175,3.034115
10_1_0,0.02680853,4.368976
10_2_0,0.019918531,4.3576326
10_3_0,0.039488703,4.586561
100_1_0,0.022833645,4.194026
103_1_0,0.011978269,3.168022
103_10_0,0.020193249,3.320029
103_2_0,0.007311583,3.1289062
103_3_0,0.015743166,3.2538161
103_4_0,0.008477867,3.0938349
103_5_0,0.010425806,3.0805573
103_6_0,0.01549682,3.2093525
103_7_0,0.006772935,3.1646464
103_8_0,0.02131021,3.447589
103_9_0,0.016154647,3.1388576
104_1_0,0.026795924,3.008835
104_2_0,0.02078794,2.8164566
105_1_0,0.012381375,2.977704
105_10_0,0.024785727,2.994162
105_11_0,0.031810403,3.3686886
105_12_0,0.037899703,3.381691
105_2_0,0.010917917,2.8669875
105_3_0,0.017063245,2.9960415
105_4_0,0.026283637,3.046045
105_5_0,0.03123957,3.2276926
105_6_0,0.036670983,3.0654407
105_7_0,0.024383217,3.0011868
105_8_0,0.032836705,3.2452207
105_9_0,0.017593026,3.0543628
106_1_0,0.019223273,3.730809
106_2_0,0.012940258,3.6399937
106_3_0,0.017857313,3.6384547
106_4_0,0.02004388,3.6853561
106_5_0,0.011520207,3.5934703
106_6_0,0.025346607,3.9599288
106_7_0,0.021450251,3.7771022
107_1_0,0.008682907,3.3580396
107_2_0,0.008094519,3.441927
107_3_0,0.006445915,3.3810244
107_4_0,0.010629207,3.4121974
107_5_0,0.021704018,3.639666
107_6_0,0.010280639,3.4264662
107_7_0,0.021075785,3.5645163
107_8_0,0.008354992,3.4492683
107_9_0,0.021779329,3.573586
108_1_0,0.004358798,2.8737216
108_2_0,0.008098841,2.9342544
108_3_0,0.009837925,2.895201
108_4_0,0.03180039,2.8921843
108_5_0,0.013112307,2.9442668
109_1_0,0.02240917,4.0471883
109_2_0,0.013777167,3.9256327
109_3_0,0.029838026,4.193288
109_4_0,0.019674867,4.0918694
109_5_0,0.0163576,4.0647435
