auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90,Method,Dataset
79.2 (+/- 3.7),29.2 (+/- 5.8),71.2 (+/- 5.8),69.4 (+/- 6.2),72.2 (+/- 5.5),61.9 (+/- 6.8),89.1 (+/- 3.6),48.8 (+/- 7.4),RandomForest,b_m_PatRisk_RandomForest
86.3 (+/- 3.0),19.9 (+/- 4.4),80.0 (+/- 4.5),80.3 (+/- 4.4),79.9 (+/- 4.7),73.6 (+/- 5.0),89.1 (+/- 1.9),66.1 (+/- 7.0),SVM,b_m_PatRisk_SVM
85.9 (+/- 2.6),20.2 (+/- 4.3),79.3 (+/- 4.1),81.6 (+/- 6.0),78.1 (+/- 3.7),64.2 (+/- 11.2),90.6 (+/- 1.1),51.5 (+/- 16.4),NN,b_m_PatRisk_NN
87.3 (+/- 4.4),19.7 (+/- 4.0),80.0 (+/- 4.3),81.0 (+/- 3.4),79.5 (+/- 4.7),63.7 (+/- 11.2),90.6 (+/- 1.1),50.8 (+/- 16.4),LogisticRegression,b_m_PatRisk_LogisticRegression
87.6 (+/- 4.4),19.7 (+/- 4.0),80.0 (+/- 4.3),81.0 (+/- 3.4),79.5 (+/- 4.7),65.7 (+/- 10.8),90.6 (+/- 1.1),53.8 (+/- 15.8),LinearRegression,b_m_PatRisk_LinearRegression
72.4 (+/- 7.1),34.2 (+/- 3.7),65.7 (+/- 3.5),66.4 (+/- 4.9),65.3 (+/- 3.5),54.7 (+/- 8.8),86.0 (+/- 4.2),39.2 (+/- 13.1),RandomForest,b_m_MenoStatus_RandomForest
73.7 (+/- 9.8),29.7 (+/- 8.9),70.8 (+/- 8.4),68.7 (+/- 11.0),71.9 (+/- 7.5),52.6 (+/- 13.8),90.5 (+/- 1.7),34.2 (+/- 20.1),SVM,b_m_MenoStatus_SVM
74.5 (+/- 8.6),30.4 (+/- 8.1),69.4 (+/- 8.2),70.2 (+/- 8.1),69.0 (+/- 8.2),47.3 (+/- 9.8),90.6 (+/- 1.1),26.3 (+/- 13.1),NN,b_m_MenoStatus_NN
73.4 (+/- 6.7),32.0 (+/- 6.2),68.2 (+/- 6.3),67.5 (+/- 5.9),68.6 (+/- 6.5),43.7 (+/- 7.2),90.6 (+/- 1.1),20.6 (+/- 10.7),LogisticRegression,b_m_MenoStatus_LogisticRegression
72.6 (+/- 5.5),33.0 (+/- 6.3),66.6 (+/- 6.5),67.7 (+/- 5.8),66.2 (+/- 7.0),43.7 (+/- 9.2),90.6 (+/- 1.1),20.2 (+/- 15.0),LinearRegression,b_m_MenoStatus_LinearRegression
71.7 (+/- 5.5),30.9 (+/- 5.0),69.0 (+/- 4.7),69.7 (+/- 6.1),68.6 (+/- 4.0),51.0 (+/- 10.7),84.7 (+/- 4.2),34.8 (+/- 14.1),RandomForest,b_m_FamRisk_RandomForest
75.1 (+/- 5.2),30.8 (+/- 8.5),69.1 (+/- 8.6),69.3 (+/- 8.3),69.0 (+/- 8.8),39.2 (+/- 7.7),89.8 (+/- 1.5),14.5 (+/- 8.9),SVM,b_m_FamRisk_SVM
77.7 (+/- 7.7),29.1 (+/- 7.1),71.1 (+/- 6.8),70.2 (+/- 7.8),71.6 (+/- 6.5),52.1 (+/- 13.8),90.5 (+/- 1.7),33.4 (+/- 19.0),NN,b_m_FamRisk_NN
77.6 (+/- 8.1),29.5 (+/- 7.1),70.7 (+/- 6.9),70.2 (+/- 7.8),70.9 (+/- 6.7),56.0 (+/- 12.5),89.8 (+/- 1.5),39.6 (+/- 17.3),LogisticRegression,b_m_FamRisk_LogisticRegression
75.5 (+/- 9.6),30.8 (+/- 5.8),69.3 (+/- 5.9),69.0 (+/- 5.5),69.4 (+/- 6.1),55.2 (+/- 14.1),90.6 (+/- 1.1),38.1 (+/- 20.4),LinearRegression,b_m_FamRisk_LinearRegression
68.3 (+/- 9.7),37.3 (+/- 7.5),62.7 (+/- 7.5),62.4 (+/- 7.5),62.9 (+/- 7.6),48.9 (+/- 10.5),85.3 (+/- 6.6),31.1 (+/- 13.5),RandomForest,b_m_Contrac_RandomForest
75.9 (+/- 5.2),29.5 (+/- 3.6),70.3 (+/- 3.3),70.9 (+/- 4.6),70.0 (+/- 2.7),48.2 (+/- 11.7),89.7 (+/- 2.7),28.1 (+/- 15.6),SVM,b_m_Contrac_SVM
78.5 (+/- 7.0),27.3 (+/- 6.8),72.5 (+/- 7.1),73.4 (+/- 6.3),72.1 (+/- 7.4),51.3 (+/- 12.1),90.6 (+/- 1.1),32.3 (+/- 17.1),NN,b_m_Contrac_NN
78.5 (+/- 6.9),26.5 (+/- 7.0),73.5 (+/- 7.3),73.4 (+/- 6.3),73.6 (+/- 7.9),53.6 (+/- 14.5),90.6 (+/- 1.1),35.8 (+/- 21.0),LogisticRegression,b_m_Contrac_LogisticRegression
77.8 (+/- 7.5),27.2 (+/- 7.2),72.8 (+/- 7.4),72.7 (+/- 6.8),72.9 (+/- 7.9),52.9 (+/- 13.7),90.6 (+/- 1.1),34.9 (+/- 19.9),LinearRegression,b_m_Contrac_LinearRegression
70.9 (+/- 10.5),31.4 (+/- 7.3),68.5 (+/- 7.4),68.8 (+/- 7.2),68.3 (+/- 7.7),47.2 (+/- 11.5),83.0 (+/- 7.8),29.8 (+/- 13.7),RandomForest,b_m_Chemo_RandomForest
75.4 (+/- 8.3),28.1 (+/- 8.1),72.8 (+/- 7.8),68.7 (+/- 12.7),75.0 (+/- 9.3),47.3 (+/- 19.2),90.2 (+/- 4.3),27.0 (+/- 29.1),SVM,b_m_Chemo_SVM
77.6 (+/- 7.7),28.0 (+/- 8.0),71.8 (+/- 8.1),72.4 (+/- 7.9),71.6 (+/- 8.2),49.0 (+/- 15.6),89.1 (+/- 1.9),30.0 (+/- 21.4),NN,b_m_Chemo_NN
