ScanID,bounding_box_size_z
1_1_0,11.19314272
1_2_0,11.19314272
10_1_0,34.37304919
10_2_0,20.92272559
10_3_0,14.944804
100_1_0,26.25
103_1_0,10.362532
103_10_0,15.54379799
103_2_0,10.362532
103_3_0,7.771898997
103_4_0,9.067215497
103_5_0,9.067215497
103_6_0,9.067215497
103_7_0,6.476582498
103_8_0,11.6578485
103_9_0,19.42974749
104_1_0,30
104_2_0,13.75
105_1_0,26.87304101
105_10_0,9.405564352
105_11_0,13.4365205
105_12_0,12.09286845
105_2_0,8.061912302
105_3_0,12.09286845
105_4_0,25.52938896
105_5_0,28.21669306
105_6_0,9.405564352
105_7_0,32.24764921
105_8_0,18.8111287
105_9_0,21.4984328
106_1_0,16.43291237
106_2_0,11.37663164
106_3_0,10.11256146
106_4_0,8.848491278
106_5_0,18.96105274
106_6_0,11.37663164
106_7_0,11.37663164
107_1_0,11.25
107_2_0,10
107_3_0,10
107_4_0,11.25
107_5_0,11.25
107_6_0,10
107_7_0,16.25
107_8_0,18.75
107_9_0,15
108_1_0,10
108_2_0,30
108_3_0,10
108_4_0,11.25
108_5_0,11.25
109_1_0,39.93968166
109_2_0,10.75299122
109_3_0,13.82527442
109_4_0,12.28913282
109_5_0,12.28913282
109_6_0,19.96984083
109_7_0,18.43369923
109_8_0,16.89755762
11_1_0,14.52989125
11_2_0,23.77618568
11_3_0,11.88809284
11_4_0,10.56719364
110_1_0,19.05599586
111_1_0,11.26236022
111_2_0,12.51373357
111_3_0,15.01648029
111_4_0,21.27334708
111_5_0,25.02746715
111_6_0,16.26785365
111_7_0,10.01098686
112_1_0,14.81344128
112_2_0,13.4667648
114_1_0,35
114_2_0,8.75
114_3_0,12.5
114_4_0,35
114_5_0,11.25
114_6_0,10
114_7_0,11.25
114_8_0,11.25
115_1_0,17.43409617
115_10_0,15.98125482
115_11_0,13.07557213
115_2_0,14.52841347
115_3_0,11.62273078
115_4_0,10.16988943
115_5_0,10.16988943
115_6_0,15.98125482
115_7_0,11.62273078
115_8_0,10.16988943
115_9_0,17.43409617
116_1_0,11.4331109
116_2_0,14.29138862
116_3_0,10.00397204
116_4_0,17.14966635
116_5_0,12.86224976
116_6_0,11.4331109
116_7_0,10.00397204
116_8_0,11.4331109
116_9_0,14.29138862
118_1_0,9.218395505
118_2_0,9.218395505
118_3_0,9.218395505
118_4_0,10.53530915
118_5_0,9.218395505
118_6_0,9.218395505
118_7_0,10.53530915
119_1_0,14.6438489
119_2_0,9.318812935
12_1_0,10.34112531
12_2_0,9.048484643
120_1_0,8.039825956
120_2_0,8.039825956
120_3_0,21.43953588
120_4_0,24.11947787
120_5_0,18.7595939
120_6_0,12.05973893
122_1_0,10.50526901
122_10_0,10.50526901
122_11_0,9.19211038
122_12_0,13.13158626
122_13_0,13.13158626
122_14_0,14.44474488
122_15_0,10.50526901
122_16_0,10.50526901
122_17_0,17.07106213
122_18_0,13.13158626
122_19_0,17.07106213
122_2_0,9.19211038
122_20_0,10.50526901
122_3_0,9.19211038
122_4_0,10.50526901
122_5_0,13.13158626
122_6_0,10.50526901
122_7_0,13.13158626
122_8_0,11.81842763
122_9_0,10.50526901
123_1_0,8.035625624
123_10_0,14.73198031
123_11_0,21.428335
123_2_0,9.374896561
123_3_0,12.05343844
123_4_0,9.374896561
123_5_0,12.05343844
123_6_0,10.7141675
123_7_0,17.41052219
123_8_0,10.7141675
123_9_0,10.7141675
124_1_0,12.06847419
124_2_0,25.47788995
124_3_0,10.72753261
124_4_0,14.75035734
124_5_0,12.06847419
124_6_0,13.40941576
124_7_0,16.09129892
124_8_0,21.45506522
125_1_0,17.68310302
125_2_0,10.31514343
125_3_0,13.26232727
125_4_0,16.2095111
125_5_0,13.26232727
126_1_0,21.26738487
127_1_0,11.25
127_2_0,11.25
128_1_0,15.72974439
128_2_0,10.48649626
128_3_0,9.175684226
128_4_0,11.79730829
129_1_0,17.5
129_10_0,11.25
129_2_0,47.5
129_2_1,47.5
129_2_2,47.5
129_2_3,47.5
129_2_4,47.5
129_3_0,11.25
129_4_0,10
129_5_0,10
129_6_0,10
129_7_0,11.25
129_8_0,11.25
129_9_0,10
130_1_0,11.25
130_10_0,12.5
130_11_0,11.25
130_12_0,11.25
130_13_0,10
130_14_0,13.75
130_15_0,10
130_2_0,11.25
130_3_0,10
130_4_0,8.75
130_5_0,10
130_6_0,11.25
130_7_0,16.25
130_8_0,13.75
130_9_0,12.5
131_1_0,13.93433965
131_2_0,12.6675815
132_1_0,10.5054968
132_2_0,11.8186839
132_3_0,11.8186839
132_4_0,15.7582452
133_1_0,9.091523021
134_1_0,11.98594686
134_10_0,10.65417499
134_11_0,9.322403113
134_12_0,7.99063124
134_13_0,9.322403113
134_14_0,11.98594686
134_15_0,9.322403113
134_16_0,9.322403113
134_17_0,17.31303435
134_18_0,23.97189372
134_19_0,15.98126248
134_2_0,10.65417499
134_3_0,11.98594686
134_4_0,10.65417499
134_5_0,9.322403113
134_6_0,6.658859367
134_7_0,10.65417499
134_8_0,11.98594686
134_9_0,10.65417499
135_1_0,8.75
135_10_0,11.25
135_11_0,12.5
135_2_0,11.25
135_3_0,11.25
135_4_0,12.5
135_5_0,11.25
135_6_0,12.5
135_7_0,15
135_8_0,10
135_9_0,11.25
138_1_0,17.5
138_2_0,17.5
138_3_0,21.25
139_1_0,10.89736719
139_2_0,14.98387989
139_3_0,12.25953809
139_4_0,9.535196291
139_5_0,16.34605078
139_6_0,12.25953809
139_7_0,13.62170899
14_1_0,9.936369307
14_2_0,15.61429463
14_3_0,21.29221994
140_1_0,12.02613429
140_2_0,12.02613429
140_3_0,12.02613429
140_4_0,10.30811511
140_5_0,10.30811511
140_6_0,25.77028777
140_7_0,15.46217266
140_8_0,13.74415348
140_9_0,12.02613429
141_1_0,21.38981113
141_2_0,12.83388668
141_3_0,15.6858615
141_4_0,15.6858615
141_5_0,17.11184891
141_6_0,19.96382372
141_7_0,9.981911862
143_1_0,10.84719051
143_2_0,14.91488695
143_3_0,14.91488695
143_4_0,16.27078576
143_5_0,12.20308932
145_1_0,19.10589536
146_1_0,12.03870615
146_2_0,12.03870615
148_1_0,12.19302158
148_2_0,10.8382414
148_3_0,14.90258193
148_4_0,17.61214228
148_5_0,14.90258193
148_6_0,10.8382414
15_1_0,10.2408706
15_2_0,17.92152355
15_3_0,10.2408706
